Score,Priority,Name,Classification,Address,City,State,Distance_Tier,Website,Phone,Email,Contact_Name,Allows_Outside_Catering,Has_Bar,Capacity,Existing_Partner,Notes,Next_Action
3,⬜ Low,Boarding House Park,Event venue,"40 French St, Lowell, MA 01852, United States",Lowell,MA,Near 15-30mi,http://www.lowellsummermusic.org/,19789705200,,,Unknown,Unknown,100,No,From existing CSV,Research needed
3,⬜ Low,The Gallery at Villageworks,Event venue,"525 Massachusetts Ave, Acton, MA 01720, United States",Acton,MA,Near 15-30mi,,,,,Unknown,Unknown,100,No,From existing CSV,Research needed
3,⬜ Low,Concord Scout House,Event venue,"Concord Scout House, 74 Walden St, Concord, MA 01742, United States",Concord,MA,Near 15-30mi,http://concordscouthouse.org/,19783693455,,,Unknown,Unknown,100,No,From existing CSV,Research needed
3,⬜ Low,Mushrush Towers,Event venue,"14 Dodge Ave, Worcester, MA 01606, United States",Worcester,MA,Near 15-30mi,,,,,Unknown,Unknown,100,No,From existing CSV,Research needed
3,⬜ Low,UTEC Conference Center,Conference Center,"35 e Warren St, Lowell, MA 01852, United States",Lowell,MA,Near 15-30mi,http://www.utec-events.org/,19788563976,,,Unknown,Unknown,100,No,From existing CSV,Research needed
3,⬜ Low,The Wandering Stage,Event Venue,"175 Cabot St, Lowell, MA 01854, United States",Lowell,MA,Near 15-30mi,http://www.thewanderingstage.com/,,,,Unknown,Unknown,100,No,From existing CSV,Research needed
3,⬜ Low,The Mill Yard,Event Venue,"110 Canal St, Lowell, MA 01852, United States",Lowell,MA,Near 15-30mi,http://likelowell.com/,,,,Unknown,Unknown,100,No,From existing CSV,Research needed
3,⬜ Low,EventUp by Tripleseat,Event Planner,"300 Baker Ave Suite 160, Concord, MA 01742, United States",Concord,MA,Near 15-30mi,http://www.eventup.com/,,,,Unknown,Unknown,100,No,From existing CSV,Research needed
3,⬜ Low,F & D Weddings,Wedding venue,"3 Nagog Park, Acton, MA 01720, United States",Acton,MA,Near 15-30mi,http://www.fanddweddings.com/,19782742231,,,Unknown,Unknown,100,No,From existing CSV,Research needed
3,⬜ Low,Nashoba Brooks School Sureau Family Discovery Barn,Event Venue,"200 Strawberry Hill Rd Rear of Building, 200 Strawberry Hill Rd, Concord, MA 01742, United States",Concord,MA,Near 15-30mi,http://www.nashobabrooks.org/,,,,Unknown,Unknown,100,No,From existing CSV,Research needed
3,⬜ Low,Hunt Memorial Building,Event venue,Nashua,Nashua,NH,Medium 30-45mi,Research needed,Research needed,Research needed,Building Manager,Yes,Unknown,75,No,"Community building, budget venue",Apply vendor list
3,⬜ Low,Indian Ranch,Event venue,Webster,Webster,MA,Medium 30-45mi,indianranch.com/private-events/,(508) 943-3871,events@indianranch.com,Events Coordinator,Unknown,Yes,200,No,Has Samuel Slater's Restaurant - ask about exceptions,Research needed
2,⬜ Low,Village Hall on the Common,Wedding venue,"2 Oak St, Framingham, MA 01701, United States",Framingham,MA,Medium 30-45mi,https://villagehallonthecommon.org/,15086269091,,,Unknown,Unknown,100,Yes,From existing CSV,Research needed
2,⬜ Low,Italian American Victory Club,Banquet hall,"26 Dewey Rd, Shrewsbury, MA 01545, United States",Shrewsbury,MA,Medium 30-45mi,https://iavcshrewsbury.com/,15087539285,,,Unknown,Unknown,100,No,From existing CSV,Research needed
2,⬜ Low,Shrewsbury Sportsman Club,Banquet hall,"304 Boylston St, Shrewsbury, MA 01545, United States",Shrewsbury,MA,Medium 30-45mi,,15088429581,,,Unknown,Unknown,100,No,From existing CSV,Research needed
2,⬜ Low,Elks Lodge,Banquet hall,"777 South St, Tewksbury, MA 01876, United States",Tewksbury,MA,Medium 30-45mi,http://www.elks2070.com/,19786576333,,,Unknown,Unknown,100,No,From existing CSV,Research needed
2,⬜ Low,Castleton Banquet and Conference Center,banquet Hall,"58 Enterprise Dr, Windham, NH 03087, United States",Windham,NH,Medium 30-45mi,https://www.castletonbcc.com/,16038986300,,,Unknown,Unknown,100,No,From existing CSV,Research needed
2,⬜ Low,Corinthian Hall,Banquet hall,"523 Franklin St, Melrose, MA 02176, United States",Melrose,MA,Far 45+mi,,17816659800,,,Unknown,Unknown,100,No,From existing CSV,Research needed
2,⬜ Low,"Village Hall on the Common - Event & Wedding Hall

Village Hall on the Common
https://villagehallonthecommon.org",,,,MA,Far 45+mi,,,,,Unknown,Unknown,100,Yes,From existing CSV,Research needed
2,⬜ Low,Orsogna Plaza,Banquet Hall,"316 Main St, Everett, MA 02149, United States",Everett,MA,Far 45+mi,,16173873017,,,Unknown,Unknown,100,No,From existing CSV,Research needed
2,⬜ Low,Watertown Sons of Italy,Banquet Hall,"520 Pleasant St, Watertown, MA 02472, United States",Watertown,MA,Far 45+mi,http://www.watertownsonsofitaly.com/,16179245013,,,Unknown,Unknown,100,No,From existing CSV,Research needed
2,⬜ Low,Red Balloon Events Party Hall,Banquet hall,"496 Boston Post Rd E, Marlborough, MA 01752, United States",Marlborough,MA,Far 45+mi,http://www.red-balloon-events.com/,18572669972,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Harrington Farm,Event venue,Princeton,Princeton,MA,Near 15-30mi,harringtonfarm.com,Research needed,harringtonfarm.com/contact/,Wedding Team,In-House Only,Yes,200,No,All-inclusive luxury model,Skip
1,⬜ Low,Back Bay Events Center,Event venue,"Stephen L Brown, 180 Berkeley St, Boston, MA 02116, United States",Boston,MA,Medium 30-45mi,http://www.backbayeventscenter.com/,16172361199,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Warehouse XI - Boston Event Space,Event venue,"11 Sanborn Ct, Somerville, MA 02143, United States",Boston,MA,Medium 30-45mi,https://www.wxi.space/,16174488490,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Revent Space,Event venue,"413 Neponset Ave 1st Floor, Boston, MA 02122, United States",Boston,MA,Medium 30-45mi,http://www.reventboston.com/,16175061594,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Longwood Venues + Destinations,Event venue,"60 State St, Boston, MA 02109, United States",Boston,MA,Medium 30-45mi,https://longwoodvenues.com/,,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Boston University: The Castle,Event venue,"The Castle, 225 Bay State Rd, Boston, MA 02215, United States",Boston,MA,Medium 30-45mi,,16173532934,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Harvard Club of Boston,Event venue,"374 Commonwealth Ave, Boston, MA 02215, United States",Boston,MA,Medium 30-45mi,http://www.harvardclub.com/,16175361260,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Garage B Events at The Speedway,Event venue,"1420 Soldiers Field Rd, Boston, MA 02135, United States",Boston,MA,Medium 30-45mi,http://www.garagebevents.com/,18572424280,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Wellesley College Club,Event venue,"727 Washington St, Wellesley, MA 02481, United States",Wellesley,MA,Medium 30-45mi,http://www.wellesleycollegeclub.com/,17812832700,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Eastern Shores Club,Event venue,"206 Quinsigamond Ave Second Floor, 206 S Quinsigamond Ave Main Floor, Shrewsbury, MA 01545, United States",Shrewsbury,MA,Medium 30-45mi,http://easternshoresclub.com/,15087555953,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Broadmoor Ballroom,Event venue,"Event Center, 1 Superior Dr, Natick, MA 01760, United States",Natick,MA,Medium 30-45mi,https://www.broadmoorballroom.com/,15086515250,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Sugar Plum Parties,Event Venue,"306 Boston Rd K, Billerica, MA 01862, United States",Billerica,MA,Medium 30-45mi,https://www.sugarplumpartiesbillerica.com/,17814388488,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Independence Hall,,"59 South St, Shrewsbury, MA 01545, United States",Shrewsbury,MA,Medium 30-45mi,https://www.recoverindependence.org/,15088456176,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Vip Space Events,Event Venue,"424 Hartford Turnpike, Shrewsbury, MA 01545, United States",Shrewsbury,MA,Medium 30-45mi,http://vipspaceevents.com/,15084715121,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Metcalf Trustee Center,Event Venue,"1 Silber Way # 9, Boston, MA 02215, United States",Boston,MA,Medium 30-45mi,http://www.bu.edu/evcon/non-univ/campus-facilities/metcalf-trustee-center/,16173533520,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Somerville Studios Event Space,Event Venue,"343 Medford St Fl 2, Somerville, MA 02145, United States",Somerville,MA,Medium 30-45mi,https://www.somervillestudios.com/,16175759580,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Divine Lavish Studios Event SPACE/VENUE,,"553 Main St, Tewksbury, MA 01876, United States",Tewksbury,MA,Medium 30-45mi,http://www.divinelavishstudios.com.dream.website/,17814280343,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Posh Peony Event Studio,Event Venue,"43 Broad St B302, Hudson, MA 01749, United States",Hudson,MA,Medium 30-45mi,,17813547680,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Event Center Nashua,Event venue,Nashua,Nashua,NH,Medium 30-45mi,eventcenternashua.com,Research needed,eventcenternashua.com,Event Planner,In-House Only,Yes,200,No,Professional in-house catering,Skip
1,⬜ Low,Castleton Banquet & Conference Center,Event venue,58 Enterprise Dr,Windham,NH,Medium 30-45mi,castletonbcc.com,(603) 898-6300,Research needed,Event Manager,In-House Only,Yes,200,No,Banquet center model - likely in-house,Skip
1,⬜ Low,Skyplex Venue/ Function Hall,Event venue,"427 Broadway, Everett, MA 02149, United States",Everett,MA,Far 45+mi,https://skyplexvenue.business.site/,16176690517,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Le Petit Space,Event venue,"42 Corinth St, Roslindale, MA 02131, United States",Roslindale,MA,Far 45+mi,http://www.lepetitspace.com/,16177140676,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Bespoke Events,Event venue,"8 Michaels Mall, Winthrop, MA 02152, United States",Winthrop,MA,Far 45+mi,http://www.bespokeeventsma.co/,16175454308,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Revent Space Norwood,Event venue,"884 Washington St, Norwood, MA 02062, United States",Norwood,MA,Far 45+mi,https://reventboston.com/,16175061594,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Little Bird Events,Event venue,"Building Four, 83 Morse St Unit F, Norwood, MA 02062, United States",Norwood,MA,Far 45+mi,https://www.littlebirdevents.net/,17813528499,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,The Blanc,Event venue,"480 Neponset St Suite 11B1, Canton, MA 02021, United States",Canton,MA,Far 45+mi,http://www.theblancspaces.com/,17812983160,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Gorgeous Events,Event venue,"21 Torrey St, Brockton, MA 02301, United States",Brockton,MA,Far 45+mi,http://www.gorgeouseventspaces.com/,15084330069,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Pure Elegance D’Luxe Event Venue,Event venue,"575 E Washington St, North Attleborough, MA 02760, United States",North Attleborough,MA,Far 45+mi,,18572379613,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Relief's In,Event venue,"1 Market St, Lawrence, MA 01843, United States",Lawrence,MA,Far 45+mi,http://reliefsin.com/,19786879053,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,MVP Open,Event venue,"132 Marshall St, Leicester, MA 01524, United States",Leicester,MA,Far 45+mi,,15087360811,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Four Oaks Country Club Golf Course & Pro Shop,,"1 Clubhouse Ln, Dracut, MA 01826, United States",Cracut,MA,Far 45+mi,https://www.fouroakscountryclub.com/,19784550054,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,"Once Upon A Time Wedding Services, Inc.",Wedding Planner,,,MA,Far 45+mi,http://www.onceuponatimeweddingservices.com/,16172242051,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Moma Events,Event Planner,,,MA,Far 45+mi,http://www.momaevents.com/,15087368024,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Casa Lucia Function Facility,Event Venue,"61 Lucia Ave, Revere, MA 02151, United States",Revere,MA,Far 45+mi,http://www.casaluciaevents.com/,17812261383,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Whittemore Robbins House,Event Venue,"670R Massachusetts Ave, Arlington, MA 02476, United States",Arlington,MA,Far 45+mi,https://www.arlingtonma.gov/i-want-to/rent-a-town-property/whittemore-robbins-house,17813163260,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Absolute 47,Event Venue,"10 Draper St, Woburn, MA 01801, United States",Woburn,MA,Far 45+mi,http://www.absolute47.com/,18333147420,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Victoria Hall,Event Venue,"36 Montvale Ave, Woburn, MA 01801, United States",Woburn,MA,Far 45+mi,http://www.victoriahallvenue.com/,17813880262,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Sanctuary,Event Venue,"82 Main St, Maynard, MA 01754, United States",Maynard,MA,Far 45+mi,http://www.sanctuarymaynard.com/,19789331476,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,"Knights & Ladies of Kaleva Lodge - Littleton, MA",Event Venue,"Kaleva Road, Littleton, MA 01460, United States",Littleton,MA,Far 45+mi,http://kalevalittletonma.org/,,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Sherborn 1858 Townhouse,Wedding Venue,"3 Sanger St, Sherborn, MA 01770, United States",Sherborn,MA,Far 45+mi,https://www.1858townhouse.com/,15086552701,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,The Henderson House,Conference Center,"99 Westcliff Rd, Weston, MA 02493, United States",Weston,MA,Far 45+mi,https://www.thehendersonhouseweston.com/,17812358517,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Fairways At Woburn Country Club,,"5 Country Club Rd, Woburn, MA 01801, United States",Woburn,MA,Far 45+mi,http://fairwayscountryclub.com/,17819354653,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Slope to Coast Events,Event Planner,"22 River St, Andover, MA 01810, United States",Andover,MA,Far 45+mi,http://www.slopetocoast.com/,16177975562,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Bridal and Wedding by Invidia,Wedding venue,"736 Boston Post Rd A, Sudbury, MA 01776, United States",Sudbury,MA,Far 45+mi,http://www.invidiasalonandspa.com/,19784431717,,,Unknown,Unknown,100,No,From existing CSV,Research needed
1,⬜ Low,Weiss Conference Center,Event Venue,"75 North Dr, Westborough, MA 01581, United States",Westborough,MA,Far 45+mi,,,,,Unknown,Unknown,100,No,From existing CSV,Research needed
